vesselUid,mmsi,imo,longitude,latitude,sog,cog,rot,heading,navStatus,posMsgType,posSrc,vesselName,callsign,flag,vesselTypeAis,vesselType,length,width,dwt,grt,destination,eta,draught,staticMsgType,staticSrc,posDt,staticDt,insertDt
336270,271010215,,28.877265009545702,40.97031357349776,0.0,357.7,-0.05,,99,18.0,TER,MEMISOGLU I,TCA2139,TR,90.0,OTHER,16,5,,,,,0.0,,,2022-02-23 00:01:59+00:00,2022-02-22T23:10:51Z,2022-02-23T00:02:00Z
702058,620499000,8812954.0,41.65281525129024,42.16231452351619,0.1,185.6,0.01,,5,3.0,TER,DINA QUEEN,D6A2579,KM,70.0,GENERAL CARGO SHIP,91,15,4336.0,2854.0,GEPTI,2022-01-28T06:00:00Z,0.6,,,2022-02-23 00:05:36+00:00,2022-02-22T23:06:26Z,2022-02-23T00:07:52Z
343771,272110900,,32.596851442228335,46.602743850153175,0.0,352.9,-0.23,,99,18.0,TER,KHASAN,,UA,52.0,TUG,12,4,,,,,0.0,,,2022-02-23 00:07:47+00:00,2022-02-22T23:33:42Z,2022-02-23T00:10:20Z
280222,247273400,9376854.0,29.01045074081322,40.77020335775135,0.72,218.1,0.11,103.0,0,1.0,SAT,DOMINIA,ICFW,IT,80.0,LIQUID TANKER,176,31,40174.0,25385.0,TUAPSE RUSSIA,2022-02-27T08:00:00Z,7.3,,,2022-02-23 00:12:43+00:00,2022-02-22T23:59:03Z,2022-02-23T00:14:18Z
350469,273443430,8862870.0,37.826720232009045,44.70982551818761,0.0,23.3,-0.11,,5,3.0,TER,TYUTERS,UEDX,RU,52.0,TUG AND TOWAGE VESSEL,29,8,46.0,181.0,NOVOROSSIYSK,2022-08-21T06:00:00Z,3.4,,,2022-02-23 00:16:36+00:00,2022-02-22T23:41:17Z,2022-02-23T00:18:41Z
339261,271042517,,28.873435991079507,40.99469581351819,0.1,58.6,0.08,,99,18.0,TER,ZEYLINE EXPRESS,TCZ05,TR,53.0,PORT TENDER,15,4,,,,,0.0,,,2022-02-23 00:16:43+00:00,2022-02-22T23:18:38Z,2022-02-23T00:18:27Z
3424527,271020080,,29.035797494399677,41.160488242859245,0.0,359.1,-0.07,,99,18.0,ROAM,VEGA,YMA2159,TR,37.0,PLEASURE CRAFT,12,4,,,,,0.0,,,2022-02-23 00:16:55+00:00,2022-02-23T00:04:35Z,2022-02-23T00:17:07Z
4962868,273394060,,36.67035507247572,45.35738394010323,0.3,356.6,-0.0,,0,1.0,ROAM,BOSPOR,UBQP4,RU,50.0,PILOT VESSEL,26,6,,,KAVKAZ,2022-01-20T14:00:00Z,1.8,,,2022-02-23 00:31:36+00:00,2022-02-23T00:22:38Z,2022-02-23T00:32:58Z
348041,273348300,9080156.0,36.686481286724906,44.86521774660165,0.1,227.9,-0.0,55.0,1,27.0,TER,ASTRAKHAN CITY,UITI,RU,80.0,LIQUID TANKER,138,17,5619.0,4409.0,ORDER,2022-02-09T12:00:00Z,2.9,,,2022-02-23 00:33:22+00:00,2022-02-23T00:04:33Z,2022-02-23T00:34:50Z
335934,271002578,9415519.0,29.41962277432813,40.72941623775952,9.9,157.8,-0.02,,99,18.0,SAT,SULTANAHMET,TCA2893,TR,60.0,RO-RO/PASSENGER SHIP,74,18,250.0,1065.0,,,0.0,,,2022-02-23 00:37:06+00:00,2022-02-23T00:26:27Z,2022-02-23T00:37:42Z
